count_id,location_id,sku,counted_quantity,system_quantity,variance,worker_id,timestamp
CYC-00027,QUAR-01-R05-B02,MED-1012,200,50,0,W-101,2026-08-30 15:57:31.969562
CYC-00035,HIGH-02-R02-B04,MED-1014,50,50,0,W-103,2026-09-01 15:57:31.969562
CYC-00066,CONT-02-R01-B04,MED-1024,50,200,0,W-105,2026-08-30 15:57:31.969562
CYC-00076,QUAR-02-R04-B02,MED-1027,50,100,0,W-103,2026-09-03 15:57:31.969562
CYC-00081,QUAR-03-R05-B04,MED-1029,50,50,0,W-105,2026-08-30 15:57:31.969562
CYC-00084,CONT-03-R04-B01,MED-1030,100,200,0,W-105,2026-09-03 15:57:31.969562
CYC-00101,HIGH-03-R01-B01,MED-1035,100,200,0,W-104,2026-09-02 15:57:31.969562
CYC-00103,HIGH-03-R01-B04,MED-1036,50,50,0,W-104,2026-09-01 15:57:31.969562
CYC-00110,CONT-01-R04-B03,MED-1039,100,50,0,W-101,2026-09-02 15:57:31.969562
CYC-00120,CONT-04-R04-B03,MED-1044,50,200,0,W-102,2026-09-01 15:57:31.969562
CYC-00126,QUAR-04-R05-B01,MED-1046,200,200,0,W-103,2026-09-02 15:57:31.969562
CYC-00132,QUAR-02-R05-B04,MED-1048,100,200,0,W-105,2026-09-03 15:57:31.969562
CYC-00135,QUAR-01-R02-B02,MED-1049,50,100,0,W-105,2026-09-01 15:57:31.969562
CYC-00152,AMBI-04-R02-B03,MED-1057,200,50,0,W-101,2026-08-30 15:57:31.969562
CYC-00165,QUAR-01-R04-B01,MED-1061,200,200,0,W-102,2026-09-02 15:57:31.969562
CYC-00177,HIGH-01-R05-B01,MED-1067,50,100,0,W-103,2026-09-01 15:57:31.969562
CYC-00186,CONT-04-R03-B02,MED-1070,100,200,0,W-104,2026-09-03 15:57:31.969562
CYC-00191,COLD-02-R04-B01,MED-1071,100,100,0,W-101,2026-08-30 15:57:31.969562
CYC-00214,AMBI-02-R05-B02,MED-1080,100,50,0,W-105,2026-09-02 15:57:31.969562
CYC-00232,AMBI-02-R01-B04,MED-1085,100,50,0,W-103,2026-08-31 15:57:31.969562
CYC-00238,AMBI-02-R02-B03,MED-1087,50,200,0,W-103,2026-08-30 15:57:31.969562
CYC-00252,QUAR-03-R05-B01,MED-1091,50,100,0,W-105,2026-09-03 15:57:31.969562
CYC-00294,CONT-01-R02-B02,MED-1105,100,200,0,W-105,2026-08-31 15:57:31.969562
CYC-00299,HIGH-04-R03-B04,MED-1106,50,100,0,W-105,2026-09-01 15:57:31.969562
CYC-00306,CONT-02-R04-B03,MED-1109,200,100,0,W-105,2026-09-03 15:57:31.969562
CYC-MED1042,COLD-02-R01-B03,MED-1042,100,0,100,W-103,2026-09-04 14:57:31.969562
CYC-DISC-MED-1012,COLD-02-R02-B04,MED-1012,150,0,150,W-103,2026-09-04 09:57:31.969562
CYC-DISC-MED-1067,AMBI-01-R05-B04,MED-1067,150,0,150,W-102,2026-09-04 07:57:31.969562
CYC-DISC-MED-1097,A-03-R02-B04,MED-1097,150,0,150,W-103,2026-09-04 13:57:31.969562
CYC-DISC-MED-1049,QUAR-03-R05-B01,MED-1049,150,0,150,W-102,2026-09-04 05:57:31.969562
CYC-DISC-MED-1060,HIGH-02-R01-B03,MED-1060,150,0,150,W-101,2026-09-04 08:57:31.969562
CYC-DISC-MED-1064,AMBI-04-R01-B03,MED-1064,150,0,150,W-101,2026-09-04 13:57:31.969562
CYC-DISC-MED-1101,COLD-02-R02-B04,MED-1101,150,0,150,W-104,2026-09-04 09:57:31.969562
CYC-DISC-MED-1110,COLD-04-R05-B02,MED-1110,150,0,150,W-105,2026-09-04 05:57:31.969562
