location_id,zone,aisle,rack,temperature_class,capacity,current_utilization,status,restricted,allowed_product_type
A-03-R02-B04,AMBIENT,A,R02,AMBIENT_20C,100,40,ACTIVE,False,GENERAL
COLD-02-R01-B03,COLD_STORAGE,COLD-02,R01,COLD_4C,150,75,ACTIVE,False,VACCINE
Q-01-R01-B02,QUARANTINE,Q,R01,AMBIENT_20C,80,20,BLOCKED,True,GENERAL
HV-01-R03-B01,HIGH_VALUE,HV,R03,CONTROLLED_15C,50,45,RESTRICTED,True,BIOLOGIC
CTRL-01-R01-B01,CONTROLLED_ACCESS,CTRL,R01,FROZEN_20C,60,30,RESTRICTED,True,CONTROLLED_SUBSTANCE
AMBI-01-R01-B01,AMBIENT,AMBI-01,R01,AMBIENT_20C,80,57,ACTIVE,False,GENERAL
AMBI-01-R01-B02,AMBIENT,AMBI-01,R01,AMBIENT_20C,100,18,ACTIVE,False,GENERAL
AMBI-01-R01-B03,AMBIENT,AMBI-01,R01,AMBIENT_20C,80,47,ACTIVE,False,GENERAL
AMBI-01-R01-B04,AMBIENT,AMBI-01,R01,AMBIENT_20C,80,15,ACTIVE,False,GENERAL
AMBI-01-R02-B01,AMBIENT,AMBI-01,R02,AMBIENT_20C,80,45,ACTIVE,False,GENERAL
AMBI-01-R02-B02,AMBIENT,AMBI-01,R02,AMBIENT_20C,200,24,ACTIVE,False,GENERAL
AMBI-01-R02-B03,AMBIENT,AMBI-01,R02,AMBIENT_20C,150,61,ACTIVE,False,GENERAL
AMBI-01-R02-B04,AMBIENT,AMBI-01,R02,AMBIENT_20C,100,54,ACTIVE,False,GENERAL
AMBI-01-R03-B01,AMBIENT,AMBI-01,R03,AMBIENT_20C,150,19,ACTIVE,False,GENERAL
AMBI-01-R03-B02,AMBIENT,AMBI-01,R03,AMBIENT_20C,150,16,ACTIVE,False,GENERAL
AMBI-01-R03-B03,AMBIENT,AMBI-01,R03,AMBIENT_20C,80,32,ACTIVE,False,GENERAL
AMBI-01-R03-B04,AMBIENT,AMBI-01,R03,AMBIENT_20C,150,61,ACTIVE,False,GENERAL
AMBI-01-R04-B01,AMBIENT,AMBI-01,R04,AMBIENT_20C,200,44,BLOCKED,False,GENERAL
AMBI-01-R04-B02,AMBIENT,AMBI-01,R04,AMBIENT_20C,200,15,ACTIVE,False,GENERAL
AMBI-01-R04-B03,AMBIENT,AMBI-01,R04,AMBIENT_20C,150,46,ACTIVE,False,GENERAL
AMBI-01-R04-B04,AMBIENT,AMBI-01,R04,AMBIENT_20C,80,12,ACTIVE,False,GENERAL
AMBI-01-R05-B01,AMBIENT,AMBI-01,R05,AMBIENT_20C,150,15,ACTIVE,False,GENERAL
AMBI-01-R05-B02,AMBIENT,AMBI-01,R05,AMBIENT_20C,80,34,ACTIVE,False,GENERAL
AMBI-01-R05-B03,AMBIENT,AMBI-01,R05,AMBIENT_20C,150,20,ACTIVE,False,GENERAL
AMBI-01-R05-B04,AMBIENT,AMBI-01,R05,AMBIENT_20C,100,52,ACTIVE,False,GENERAL
