move_id,sku,batch_id,quantity,source_location,destination_location,worker_id,timestamp,reason
MOV-00002,MED-1001,BATCH-MED-1001-01,50,HIGH-02-R04-B03,HIGH-04-R04-B04,W-103,2026-08-20 13:57:31.969562,RELOCATION
MOV-00003,MED-1001,BATCH-MED-1001-01,50,HIGH-04-R04-B04,HIGH-01-R04-B04,W-101,2026-08-23 22:57:31.969562,ISOLATION
MOV-00004,MED-1001,BATCH-MED-1001-01,50,HIGH-01-R04-B04,HIGH-02-R02-B02,W-102,2026-08-26 22:57:31.969562,REPLENISHMENT
MOV-00006,MED-1002,BATCH-MED-1002-01,50,CTRL-01-R01-B01,CONT-01-R04-B02,W-102,2026-08-18 22:57:31.969562,RELOCATION
MOV-00008,MED-1003,BATCH-MED-1003-01,50,COLD-04-R04-B04,COLD-03-R04-B02,W-101,2026-08-17 00:57:31.969562,REPLENISHMENT
MOV-00009,MED-1003,BATCH-MED-1003-01,200,COLD-03-R04-B02,COLD-03-R05-B02,W-105,2026-08-19 21:57:31.969562,RELOCATION
MOV-00010,MED-1003,BATCH-MED-1003-01,50,COLD-03-R05-B02,COLD-03-R05-B02,W-105,2026-08-23 00:57:31.969562,RELOCATION
MOV-00016,MED-1008,BATCH-MED-1008-01,200,CONT-02-R02-B03,CONT-03-R03-B03,W-101,2026-08-13 08:57:31.969562,REPLENISHMENT
MOV-00017,MED-1008,BATCH-MED-1008-01,200,CONT-03-R03-B03,CONT-03-R04-B02,W-103,2026-08-16 07:57:31.969562,REPLENISHMENT
MOV-00019,MED-1009,BATCH-MED-1009-01,200,HIGH-01-R02-B04,HIGH-03-R02-B03,W-101,2026-08-24 16:57:31.969562,ISOLATION
MOV-00020,MED-1009,BATCH-MED-1009-01,100,HIGH-03-R02-B03,HIGH-04-R03-B03,W-101,2026-08-27 22:57:31.969562,REPLENISHMENT
MOV-00021,MED-1009,BATCH-MED-1009-01,100,HIGH-04-R03-B03,HIGH-03-R02-B01,W-101,2026-08-31 00:57:31.969562,REPLENISHMENT
MOV-00023,MED-1010,BATCH-MED-1010-01,200,QUAR-01-R04-B01,QUAR-01-R04-B01,W-103,2026-08-08 05:57:31.969562,RELOCATION
MOV-00026,MED-1012,BATCH-MED-1012-01,200,QUAR-01-R01-B03,QUAR-01-R05-B02,W-104,2026-08-21 17:57:31.969562,RELOCATION
MOV-00029,MED-1013,BATCH-MED-1013-01,200,COLD-03-R03-B01,COLD-03-R01-B02,W-101,2026-08-13 11:57:31.969562,RELOCATION
MOV-00030,MED-1013,BATCH-MED-1013-01,200,COLD-03-R01-B02,COLD-01-R05-B03,W-101,2026-08-16 04:57:31.969562,ISOLATION
MOV-00031,MED-1013,BATCH-MED-1013-01,100,COLD-01-R05-B03,COLD-01-R03-B02,W-104,2026-08-19 06:57:31.969562,REPLENISHMENT
MOV-00033,MED-1014,BATCH-MED-1014-01,200,HIGH-02-R04-B02,HIGH-04-R04-B03,W-103,2026-08-20 07:57:31.969562,RELOCATION
