failure_id,sku,batch_id,expected_location,worker_id,timestamp,failure_reason
FAIL-MED1042,MED-1042,BATCH-MED1042-01,A-03-R02-B04,W-101,2026-09-04 13:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1100,MED-1100,BATCH-MED-1100-01,CONT-03-R03-B04,W-103,2026-09-04 14:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1012,MED-1012,BATCH-MED-1012-01,QUAR-02-R05-B04,W-104,2026-09-04 13:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1053,MED-1053,BATCH-MED-1053-01,HIGH-02-R05-B01,W-104,2026-09-04 13:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1067,MED-1067,BATCH-MED-1067-01,CONT-04-R02-B03,W-104,2026-09-04 14:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1097,MED-1097,BATCH-MED-1097-01,QUAR-04-R03-B02,W-102,2026-09-04 12:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1036,MED-1036,BATCH-MED-1036-01,CONT-01-R03-B04,W-103,2026-09-04 12:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1090,MED-1090,BATCH-MED-1090-01,AMBI-04-R05-B04,W-103,2026-09-04 12:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1049,MED-1049,BATCH-MED-1049-01,COLD-02-R04-B04,W-101,2026-09-04 14:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1060,MED-1060,BATCH-MED-1060-01,COLD-02-R03-B04,W-101,2026-09-04 12:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1064,MED-1064,BATCH-MED-1064-01,CONT-02-R03-B04,W-102,2026-09-04 13:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1043,MED-1043,BATCH-MED-1043-01,COLD-04-R05-B01,W-104,2026-09-04 14:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1076,MED-1076,BATCH-MED-1076-01,CONT-02-R01-B03,W-105,2026-09-04 14:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1001,MED-1001,BATCH-MED-1001-01,AMBI-04-R05-B04,W-102,2026-09-04 13:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1101,MED-1101,BATCH-MED-1101-01,QUAR-04-R01-B03,W-102,2026-09-04 14:57:31.969562,NOT_FOUND
FAIL-DISC-MED-1110,MED-1110,BATCH-MED-1110-01,QUAR-03-R04-B04,W-103,2026-09-04 12:57:31.969562,NOT_FOUND
