scan_id,sku,batch_id,quantity,from_location,to_location,worker_id,timestamp,zone
PUT-00001,MED-1001,BATCH-MED-1001-01,500,RECEIVING-DOCK-1,HIGH-02-R04-B03,W-101,2026-08-19 12:57:31.969562,HIGH_VALUE
PUT-00005,MED-1002,BATCH-MED-1002-01,100,RECEIVING-DOCK-1,CTRL-01-R01-B01,W-105,2026-08-17 11:57:31.969562,CONTROLLED_ACCESS
PUT-00007,MED-1003,BATCH-MED-1003-01,100,RECEIVING-DOCK-1,COLD-04-R04-B04,W-103,2026-08-15 15:57:31.969562,COLD_STORAGE
PUT-00011,MED-1004,BATCH-MED-1004-01,50,RECEIVING-DOCK-1,CONT-02-R05-B02,W-101,2026-08-10 19:57:31.969562,CONTROLLED_ACCESS
PUT-00012,MED-1005,BATCH-MED-1005-01,500,RECEIVING-DOCK-1,HIGH-01-R04-B01,W-101,2026-08-09 17:57:31.969562,HIGH_VALUE
PUT-00013,MED-1006,BATCH-MED-1006-01,200,RECEIVING-DOCK-1,COLD-01-R02-B04,W-104,2026-08-21 07:57:31.969562,COLD_STORAGE
PUT-00014,MED-1007,BATCH-MED-1007-01,50,RECEIVING-DOCK-1,HIGH-04-R01-B04,W-101,2026-08-06 02:57:31.969562,HIGH_VALUE
PUT-00015,MED-1008,BATCH-MED-1008-01,100,RECEIVING-DOCK-1,CONT-02-R02-B03,W-104,2026-08-12 01:57:31.969562,CONTROLLED_ACCESS
PUT-00018,MED-1009,BATCH-MED-1009-01,50,RECEIVING-DOCK-1,HIGH-01-R02-B04,W-104,2026-08-23 13:57:31.969562,HIGH_VALUE
PUT-00022,MED-1010,BATCH-MED-1010-01,100,RECEIVING-DOCK-1,QUAR-01-R04-B01,W-102,2026-08-06 23:57:31.969562,QUARANTINE
PUT-00024,MED-1011,BATCH-MED-1011-01,50,RECEIVING-DOCK-1,CONT-02-R02-B04,W-105,2026-08-11 22:57:31.969562,CONTROLLED_ACCESS
PUT-00025,MED-1012,BATCH-MED-1012-01,200,RECEIVING-DOCK-1,QUAR-01-R01-B03,W-103,2026-08-20 07:57:31.969562,QUARANTINE
PUT-00028,MED-1013,BATCH-MED-1013-01,200,RECEIVING-DOCK-1,COLD-03-R03-B01,W-102,2026-08-12 01:57:31.969562,COLD_STORAGE
PUT-00032,MED-1014,BATCH-MED-1014-01,50,RECEIVING-DOCK-1,HIGH-02-R04-B02,W-103,2026-08-18 23:57:31.969562,HIGH_VALUE
PUT-00036,MED-1015,BATCH-MED-1015-01,500,RECEIVING-DOCK-1,QUAR-01-R04-B03,W-102,2026-08-25 00:57:31.969562,QUARANTINE
PUT-00040,MED-1016,BATCH-MED-1016-01,50,RECEIVING-DOCK-1,HIGH-02-R05-B01,W-103,2026-08-22 03:57:31.969562,HIGH_VALUE
PUT-00044,MED-1017,BATCH-MED-1017-01,50,RECEIVING-DOCK-1,QUAR-02-R01-B01,W-105,2026-08-22 23:57:31.969562,QUARANTINE
PUT-00047,MED-1018,BATCH-MED-1018-01,500,RECEIVING-DOCK-1,AMBI-02-R01-B02,W-105,2026-08-05 00:57:31.969562,AMBIENT
PUT-00050,MED-1019,BATCH-MED-1019-01,200,RECEIVING-DOCK-1,QUAR-02-R04-B03,W-105,2026-08-07 14:57:31.969562,QUARANTINE
PUT-00053,MED-1020,BATCH-MED-1020-01,50,RECEIVING-DOCK-1,HIGH-04-R04-B02,W-104,2026-08-07 16:57:31.969562,HIGH_VALUE
PUT-00054,MED-1021,BATCH-MED-1021-01,100,RECEIVING-DOCK-1,COLD-03-R01-B02,W-101,2026-08-06 00:57:31.969562,COLD_STORAGE
PUT-00057,MED-1022,BATCH-MED-1022-01,500,RECEIVING-DOCK-1,COLD-03-R02-B03,W-104,2026-08-14 06:57:31.969562,COLD_STORAGE
PUT-00061,MED-1023,BATCH-MED-1023-01,500,RECEIVING-DOCK-1,CONT-01-R05-B02,W-102,2026-08-14 06:57:31.969562,CONTROLLED_ACCESS
